k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium
3,288.8657398,288.8657398,282.8581912,317.5708144,300.0373338,289.7392455,282.9653442,284.8874049,323.3145421,282.6926921,320.2162087
3,260.6123092,260.6123092,267.5020419,346.1950786,315.2769594,266.1015149,274.9852736,271.5278196,365.1431765,264.3292752,362.6034559
3,283.3218083,283.3218083,287.1846385,329.6785249,311.5895711,278.4590369,285.697804,280.834456,338.9284291,278.7004197,330.9633816
3,303.1631492,303.1631492,294.7991879,317.9039782,301.9676979,290.7670464,291.6913166,291.5200456,313.5993663,290.0565368,310.0914376
3,279.4026111,279.2207278,280.2680656,336.9328289,310.3882201,275.4920913,283.7344969,278.4259514,345.6522942,276.9658336,347.0425633
3,277.263001,277.263001,281.6140779,334.0524666,315.3221431,281.679277,283.5148786,281.2655124,352.8084593,276.2670982,349.3633446
3,269.3597375,267.3499458,267.7405074,347.0667558,314.6974538,265.8062375,275.325422,271.065245,361.9535153,267.9751606,363.7327558
3,303.7618297,298.6192606,283.9460783,297.1804695,286.7765387,309.7492898,287.1184204,287.5044611,309.8813381,290.3529995,308.7222795
3,285.4831871,285.4831871,276.3091116,318.4018269,297.2495952,289.3513668,278.1688292,279.9191202,324.0435968,279.8265502,328.7903117
3,294.7844417,294.7844417,290.4063369,314.5973284,292.8273361,297.7382414,286.9458951,290.0532735,314.3460627,290.7687613,310.3801368
3,283.5438843,283.5438843,275.6106576,327.1982428,298.7679799,278.561632,279.8684946,277.1126169,335.8494789,271.6022597,336.8005087
3,284.38475,284.38475,279.9208313,326.4332733,306.1269125,274.8260707,284.0733973,274.9947016,332.1825408,275.3551941,331.0893902
3,272.8632793,272.8632793,281.4185161,327.0984625,309.9649399,275.4979285,282.5312658,284.57134,344.0668999,270.663719,340.0511329
3,293.4494473,293.4494473,291.0682585,316.8636864,297.8341638,294.0817669,288.6565889,288.354513,321.3003195,289.6172798,318.8091398
3,270.4055631,270.4055631,272.3967695,334.0419514,308.4688505,269.1706787,276.9645615,278.4576836,348.2208119,268.1340328,349.5026512
3,311.1710515,311.1710515,291.5727085,297.3799735,286.4310681,304.0543289,290.8620499,298.2953942,305.2271346,297.2567013,303.0048537
3,278.0155905,278.0155905,277.1367613,329.8919227,307.2784097,278.1711484,279.9792901,274.6772582,341.7226542,273.6774894,341.7129684
3,271.1982812,271.1982812,273.2474446,341.0124714,317.3354246,269.3201961,280.1231956,277.8360764,357.4875284,270.443019,356.8992914
3,287.865414,287.865414,279.9345311,322.1178849,305.2757179,293.6116347,281.5635387,289.9143736,331.6227391,284.6434403,334.1964273
3,299.0180101,299.0180101,288.3628064,309.420115,296.796158,298.052767,289.4685448,287.1808946,312.7249137,290.8219438,308.9763009
3,288.7496396,288.7496396,279.0027542,319.0054137,295.5275426,280.689839,277.4655826,288.0069634,317.2586027,278.2271404,315.9378668
3,273.9402606,273.072714,277.9964163,338.5764376,309.2710309,273.8745681,281.2312705,279.5875568,352.1136837,273.2081957,352.4999005
3,281.8117617,281.8117617,277.2633904,314.2985217,300.6855103,275.9467067,278.6154059,275.4352464,325.316106,277.8485251,328.7742956
3,286.2561274,285.7216051,284.9783374,334.6580917,311.8417307,290.9420017,290.314899,288.557738,334.5163592,285.9507814,331.4517653
3,272.0186577,272.0186577,273.903999,341.9113117,309.500531,271.3982938,276.3704481,273.505429,349.9738406,270.1223294,349.7909554
3,282.0691854,282.0691854,284.8509201,323.9762944,303.039197,290.9319544,287.4673775,286.3371368,336.1359333,281.0783454,332.9642714
3,269.9876223,269.9876223,273.8032322,354.8412301,314.0821772,274.356896,277.9940837,275.7287736,357.712733,268.6462694,356.457503
3,271.9978477,271.9978477,277.8633766,340.8771143,307.2437752,273.5925878,281.4197698,276.1700166,348.9082626,274.4291005,345.1993137
3,308.9734293,308.9734293,292.4168671,291.7405017,285.1724118,291.6392958,286.1067196,286.7580692,296.5877213,291.5257233,298.6935707
3,276.8259875,276.8259875,278.0228657,332.7424984,311.9546969,279.8591979,279.917975,283.2411892,342.0915056,274.2931739,341.6581514
3,278.0722978,278.0722978,278.8610172,336.2927322,307.4307135,280.6990679,282.9451509,279.6803475,349.5848026,278.1549217,349.0405473
3,278.1889923,278.1889923,274.2465696,333.7195478,310.0181943,274.8228062,276.5951008,274.6537864,350.9948828,272.9606052,351.9402051
3,289.4009442,289.4009442,289.8046509,309.4916746,294.4867439,286.9824731,290.8117013,288.6247501,316.1592255,285.0066828,312.6887153
3,289.9502783,289.9502783,288.2539732,315.4492844,297.5081668,291.7376465,286.4951044,290.075865,321.6532823,289.1248127,320.1317319
3,294.216817,294.216817,291.7201859,320.1800855,306.031703,294.3242011,292.126168,290.414973,317.7715857,288.842313,313.2116288
3,283.739529,280.7678262,276.3820417,322.427317,296.8110469,279.9088387,277.0166092,275.4368581,335.0798877,277.3849239,330.6310796
3,272.527429,272.527429,269.0757252,324.6729011,304.2058181,279.3720429,273.3659031,276.8240397,346.3089616,270.8649886,349.4461257
3,292.9238817,292.9238817,287.0173304,308.8524054,296.2791817,284.7586965,285.1261527,288.5892055,314.9402802,283.064519,310.9294226
3,286.7963832,284.353675,276.9568936,312.3107969,291.2744629,289.3685754,279.7883829,282.0284926,332.9230037,280.1615985,333.4302051
3,285.3305244,284.7948346,280.2572774,330.9354965,304.8627118,275.9804346,285.1289829,280.1873583,333.3066983,276.6211418,331.4013299
3,282.5324745,282.5324745,278.2453917,328.973933,305.183331,278.3803077,278.5453423,284.2972082,338.2485321,277.8353058,343.9966277
3,273.7032128,273.7032128,280.3659104,335.761216,312.0517821,277.9209709,282.5820364,282.0568637,351.0948304,275.5844964,347.1592698
3,297.7581748,296.4457576,290.6566751,321.591614,308.3379626,284.5790878,291.6468642,286.8635008,331.361529,285.9184353,327.7774465
3,264.0939588,261.5958557,267.020752,349.206435,317.0398078,277.050485,274.3321484,279.7448273,370.0004136,268.3792774,371.9908098
3,293.4924477,293.4924477,279.4097184,311.8950135,289.7822957,300.9711416,281.9040393,279.5418118,313.9760964,289.5520294,312.949584
3,253.0999,251.101465,262.6718585,364.151512,327.8459996,256.2163156,274.7363121,269.7629982,390.1507094,257.6782874,394.5604369
3,285.057242,285.057242,276.4004358,328.1317781,307.5769164,289.2701175,278.8561609,285.4517602,339.2377047,279.31559,341.9557436
3,265.1896088,265.1896088,266.1618627,352.0859347,318.4699833,264.5425691,271.7545934,268.8110606,365.1945573,264.4492486,365.9008503
3,292.2490585,292.2490585,289.3335451,317.7617041,300.1280167,286.9801106,292.4344815,284.0261888,324.5106751,284.8910289,319.8875748
3,278.4846113,278.4846113,276.378035,330.9637007,307.1814438,284.5437934,280.888701,278.5932262,343.3274103,274.87181,339.278422
3,277.3693675,272.8218008,273.2197382,349.2974576,320.9768103,273.3571403,280.4968093,278.4015838,368.0786922,267.037637,365.1625316
3,281.2212901,281.2212901,283.2291803,315.5815844,302.2364367,278.2023145,284.8991592,279.3588213,335.0612752,276.5685374,335.2548837
3,267.8705534,267.8705534,269.2028399,337.8919739,313.4416077,265.4069314,275.7143124,271.8914579,354.8702211,263.8863957,354.7308751
3,282.667378,279.804852,273.756708,333.9918268,302.8251643,271.3560698,274.5217027,275.3466124,342.893497,273.7920971,343.410169
3,274.9398935,271.8167372,283.7719803,328.8749515,311.2539017,284.9250574,283.683641,286.5063034,346.9741024,276.7717315,348.7563746
